feature,coefficient
"recclass_Iron, IIIAB",4.296668632860339
"recclass_Iron, IIAB",4.082199696252451
nametype_Relict,2.415669444822067
recclass_CM2,-2.342206742166401
"recclass_Iron, ungrouped",2.226840831159294
reclat,-1.674212681940848
recclass_CO3,1.6371990605327629
recclass_Iron,1.4635544805153116
recclass_LL5,-1.4183269201808446
recclass_LL6,-1.4160796121261374
recclass_Howardite,-1.4120173256304027
recclass_L6,-1.403924339693669
recclass_Other,-1.2510030598701765
recclass_L3,1.1999526314112423
year,1.1660253217862733
recclass_CV3,-1.1541367728292031
recclass_L5,-1.1174444395636287
recclass_H3,1.1054733883394219
recclass_H~5,1.096938197388902
recclass_Diogenite,-1.0227931849494796
recclass_H5,-1.0202062875846083
log_mass_g,-0.9777868212916272
recclass_LL4,-0.9406585224917301
recclass_Mesosiderite,0.9358963034931743
recclass_H6,-0.8022858662818847
recclass_L3.5,0.7207732596515158
recclass_H4/5,-0.7119970918590404
recclass_Eucrite-pmict,-0.5896566696236877
reclong,-0.39773651161566825
recclass_CR2,-0.31304539055073416
recclass_Ureilite,0.3021656621976091
recclass_H4,-0.237607582056489
recclass_E3,0.1333474233255089
recclass_L4,0.1172832961440574
recclass_LL,0.11325752342018662
recclass_H5/6,0.07613440545571763
nametype_Valid,-0.06137446013268173
